study_accession	curation_status	n_runs	n_samples	study_title	first_public_year	platforms	targets	countries
PRJNA1000981	KEEP	90	90	Impact of Fungicides on the Grape Berry Microbiome and the Sensory Profile of Derived Wines. (ITS Sequences)	2024	ILLUMINA	ITS	Australia: South Australia
PRJEB71926	KEEP	84	83	Influence of grapevine rootstock and scion genotypes on the structure and composition of arbuscular mycorrhizal fungi associated with the root system.	2024	ILLUMINA	18S, 28S	France
PRJNA1100499	KEEP	71	71	Grape berry microbiota from two Vitis vinifera cultivars: comparative analysis uncovers sour rot associates in Maryland vineyards	2024	ILLUMINA	16S (unspecified), ITS1	USA: Maryland, Queen Anne County, Queenstown
PRJNA1198338	KEEP	57	57	Soil nematode community characterized by high-throughput sequencing analysis revealed enhanced soil health in organic vineyards	2024	ILLUMINA		
PRJNA1053291	KEEP	48	4	Composition and diversity of the microbiome associated with rhizospheric soil in Vitis vinifera cultivars Syrah, Cabernet Sauvignon and Malbec from two vineyardss	2024	ILLUMINA	16S (unspecified)	Brazil
PRJEB75200	KEEP	45	45	Diversifying grapevines with aromatic plants changes the soil habitat, microbial community composition and functions toward more efficient substrate use and nutrient allocation	2024	ILLUMINA	16S (unspecified)	Germany
PRJNA1182674	KEEP	45	45	Microbial diversity of grape berries	2024	ILLUMINA		Hungary: Mad village
PRJNA1174674	KEEP	40	40	Diversifying grapevines with aromatic plants	2024	ILLUMINA		Germany
PRJNA1081348	KEEP	35	35	Sangiovese vineyard (Italy) soil microbiome	2024	ILLUMINA		Italy: DOCG Chianti Classico area (San Casciano in Val di Pesa, Florence)
PRJNA1104547	KEEP	34	34	Fungal diversity in Chile vineyards	2024	ILLUMINA		Chile: Casablanca, Chile: Cauquenes, Chile: Galvarino, Chile: Idahue, Chile: Mulchen, Chile: Pencahue, Chile: Peumo, Chile: Pirque, Chile: Punte Alto, Chile: Puren, Chile: San Clemente, Chile: Ucuquer, Chile: Valle del Limari, Chile: Victoria
PRJNA1100588	KEEP	25	25	Grape berry microbiota from two Vitis vinifera cultivars: comparative analysis uncovers sour rot associates in Maryland vineyards	2024	ILLUMINA	ITS1	USA: Maryland, Queen Anne County, Queenstown
PRJNA826314	KEEP	6	6	The addition of isolated plant growth-promoting rhizobacteria and commercial arbuscular mycorrhizal fungi alters the microbiome associated with the roots of young vines	2024	ILLUMINA		France: Villenave d'Ornon
PRJEB79661	KEEP	2	2	Complete 16S rRNA gene (V1-V9) sequencing in vineyard topsoil and young leaf phyllosphere	2024	PACBIO_SMRT	16S (unspecified)	France
PRJNA906189	KEEP	332	332	Soil and bark biodiversity forms discrete islands between vineyards that are not affected by distance or management regime	2023	ILLUMINA	16S (unspecified), ITS2	New Zealand: Marlborough
PRJNA925461	KEEP	323	323	Sequences derived from Grape Juice and Grapevine Leaf samples Raw sequence reads	2023	ILLUMINA	16S (unspecified)	New Zealand: Marlborough
PRJNA847784	KEEP	312	312	Metabarcoding data of fungal communities associated with leaf, bark and ground cover samples collected in an untreated vineyard planted with Vitis vinifera cv Merlot.	2023	ILLUMINA		France: Villenave-d Ornon
PRJNA826282	KEEP	147	147	Bacterial and fungal microbiomes in vineyard soils subjected to unexplained decline	2023	ILLUMINA	16S (unspecified), 18S, ITS	France: Villenave d'Ornon
PRJNA891098	KEEP	140	140	Metagenomic analysis of vineyard soil samples	2023	ILLUMINA		Cyprus: Agia Mavri, Cyprus: Kathikas, Cyprus: Kyperounta, Cyprus: Panagia
PRJEB44062	KEEP	120	120	Dissipation of herbicides and fungicides in a vineyard soil and responses of bacterial, fungal and protist communities	2023	ILLUMINA		France
PRJNA838599	KEEP	95	95	Malbec rhizosphere and bulk associated microbiome from high-altitude contrasting soils: effect of depth and vintage in a vineyard from Mendoza, Argentina	2023	ILLUMINA	16S (unspecified)	
PRJEB50819	KEEP	60	60	Legacy of land-cover changes on soil microbiology in Burgundy vineyards (Pernand-Vergelesses, France)	2023	ILLUMINA		France
PRJNA1032922	KEEP	48	24	Soil prokaryotic communities associated to Uruguayan vineyards	2023	ILLUMINA	16S (unspecified), ITS2	Uruguay
PRJEB49802	KEEP	40	40	metabarcoding analysis of the mycobiota of wasps and vineyard samples exposed to wasps from the environment, reared in the lab or fed with Saccharomyces cerevisiae.	2023	ILLUMINA		Italy
PRJNA843903	KEEP	35	12	Soil bacterial community affected by aggregate size under agro-management in vineyard grounds	2023	ILLUMINA		Israel
PRJNA868524	KEEP	30	30	Vineyard decline is affiliated to soil microbiome dysbiosis in diversity and functionality	2023	ILLUMINA		France: Villenave d'Ornon
PRJNA849941	KEEP	28	28	California Grapevine transect Microbiome	2023	ILLUMINA		USA: Madera County, USA: Merced County, USA: San Joaquin County
PRJNA860361	KEEP	28	26	Yeast communities from Nova Scotia vineyards before and after spontaneous fermentation	2023	ILLUMINA, PACBIO_SMRT	ITS, ITS2	Canada: Lower Wolfville, Nova Scotia
PRJNA885087	KEEP	20	20	Alvarinho microbiome	2023	ILLUMINA	16S (unspecified)	Portugal:Basto, Portugal:Cavado, Portugal:Chaves, Portugal:Melgaco, Portugal:Moncao, Portugal:Terras de Azurara, Portugal:Viana do Castelo, Portugal:Vidigueira
PRJNA915365	KEEP	7	7	Soil bacterial community diversity of a red soil vineyard in hot-moist southwest China	2023	ILLUMINA		China: Nanning
PRJEB31962	KEEP	1658	1658	Promoting EcoSystem Services in Grapes	2022	ILLUMINA	16S (unspecified), ITS	Austria, France, Germany, Romania, Switzerland
PRJEB57815	KEEP	189	189	Composition and biodiversity of soil and root-associated microbiome in Vitis vinifera cultivar 1 Lambrusco distinguish the microbial terroir of the Lambrusco DOC protected designation of 2 origin area on a local scale	2022	ILLUMINA		Italy
PRJNA911566	KEEP	152	38	Metagenome of soil from vineyards under different agricultural management practices	2022	ILLUMINA		France:Bordeaux
